日期,天气状况,最高温度,最低温度,白天风力风向,夜晚风力风向,,,
2019年7月27日,晴/多云,36℃,27℃,无持续风向1-2级,无持续风向1-2级,,,36℃
2019年7月28日,雷阵雨/多云,35℃,27℃,无持续风向1-2级,无持续风向1-2级,,,35℃
2019年7月29日,雷阵雨/雷阵雨,33℃,28℃,无持续风向1-2级,无持续风向1-2级,,,33℃
2019年7月30日,阵雨/阵雨,33℃,26℃,无持续风向1-2级,无持续风向1-2级,,,33℃
2019年7月31日,中雨/大雨,30℃,26℃,东风3-4级,东风3-4级,,,30℃
2019年8月1日,暴雨/暴雨,29℃,25℃,东风3-4级,东风3-4级,,,29℃
2019年8月2日,大雨/阵雨,29℃,25℃,无持续风向1-2级,无持续风向1-2级,,,29℃
2019年8月3日,中到大雨/阵雨,30℃,25℃,无持续风向1-2级,无持续风向1-2级,,,30℃
2019年8月4日,多云/多云,33℃,27℃,无持续风向1-2级,无持续风向1-2级,,,33℃
2019年8月5日,晴/多云,35℃,27℃,无持续风向1-2级,无持续风向1-2级,,,35℃
2019年8月6日,阵雨/阵雨,35℃,28℃,无持续风向1-2级,无持续风向1-2级,,,35℃
2019年8月7日,雷阵雨/多云,36℃,27℃,无持续风向1-2级,无持续风向1-2级,,,36℃
2019年8月8日,多云/多云,37℃,28℃,无持续风向1-2级,无持续风向1-2级,,,37℃
2019年8月9日,晴/晴,37℃,28℃,无持续风向1-2级,无持续风向1-2级,,,37℃
2019年8月10日,雷阵雨/多云,37℃,28℃,无持续风向1-2级,无持续风向1-2级,,,37℃
2019年8月11日,雷阵雨/阵雨,35℃,28℃,无持续风向1-2级,无持续风向1-2级,,,35℃
2019年8月12日,雷阵雨/多云,34℃,27℃,无持续风向1-2级,无持续风向1-2级,,,34℃
2019年8月13日,多云/雷阵雨,36℃,27℃,无持续风向1-2级,无持续风向1-2级,,,36℃
2019年8月14日,雷阵雨/雷阵雨,35℃,27℃,无持续风向1-2级,无持续风向1-2级,,,35℃
2019年8月15日,雷阵雨/雷阵雨,35℃,26℃,无持续风向1-2级,无持续风向1-2级,,,35℃
2019年8月16日,雷阵雨/多云,35℃,27℃,无持续风向1-2级,无持续风向1-2级,,,35℃
2019年8月17日,中雨/中雨,32℃,26℃,无持续风向1-2级,无持续风向1-2级,,,32℃
2019年8月18日,大雨/雷阵雨,30℃,25℃,无持续风向1-2级,无持续风向1-2级,,,30℃
2019年8月19日,雷阵雨/阵雨,31℃,25℃,无持续风向1-2级,无持续风向1-2级,,,31℃
2019年8月20日,雷阵雨/多云,35℃,26℃,无持续风向1-2级,无持续风向1-2级,,,35℃
2019年8月21日,阵雨/多云,35℃,27℃,无持续风向1-2级,无持续风向1-2级,,,35℃
2019年8月22日,雷阵雨/多云,35℃,28℃,无持续风向1-2级,无持续风向1-2级,,,35℃
2019年8月23日,多云/多云,34℃,27℃,无持续风向1-2级,无持续风向1-2级,,,34℃
2019年8月24日,晴/阴,37℃,27℃,无持续风向1-2级,无持续风向1-2级,,,37℃
2019年8月25日,中雨/中雨,33℃,26℃,西南风3-4级,西南风3-4级,,,33℃
2019年8月26日,大雨/阵雨,30℃,25℃,无持续风向1-2级,无持续风向1-2级,,,30℃
2019年8月27日,阵雨/多云,33℃,27℃,无持续风向1-2级,无持续风向1-2级,,,33℃
2019年8月28日,多云/多云,36℃,27℃,无持续风向1-2级,无持续风向1-2级,,,36℃
2019年8月29日,雷阵雨/雷阵雨,33℃,26℃,无持续风向1-2级,无持续风向1-2级,,,33℃
2019年8月30日,大雨/中雨,31℃,26℃,无持续风向1-2级,无持续风向1-2级,,,31℃
2019年8月31日,中到大雨/雷阵雨,30℃,25℃,无持续风向1-2级,无持续风向1-2级,,,30℃
2019年9月1日,中雨/中雨,33℃,25℃,无持续风向1-2级,无持续风向1-2级,,,33℃
2019年9月2日,大雨/阵雨,31℃,25℃,无持续风向1-2级,无持续风向1-2级,,,31℃
2019年9月3日,雷阵雨/阵雨,31℃,24℃,无持续风向1-2级,无持续风向1-2级,,,31℃
2019年9月4日,阵雨/中雨,32℃,25℃,东北风3-4级,东北风3-4级,,,32℃
2019年9月5日,雷阵雨/多云,32℃,25℃,无持续风向1-2级,无持续风向1-2级,,,32℃
2019年9月6日,阵雨/多云,33℃,26℃,无持续风向1-2级,无持续风向1-2级,,,33℃
2019年9月7日,晴/晴,36℃,27℃,无持续风向1-2级,无持续风向1-2级,,,36℃
2019年9月8日,晴/多云,35℃,27℃,无持续风向1-2级,无持续风向1-2级,,,35℃
2019年9月9日,雷阵雨/多云,35℃,26℃,无持续风向1-2级,无持续风向1-2级,,,35℃
2019年9月10日,阵雨/多云,35℃,27℃,无持续风向1-2级,无持续风向1-2级,,,35℃
2019年9月11日,多云/晴,35℃,27℃,无持续风向1-2级,无持续风向1-2级,,,35℃
2019年9月12日,晴/阵雨,35℃,26℃,无持续风向1-2级,无持续风向1-2级,,,35℃
2019年9月13日,晴/多云,36℃,27℃,无持续风向1-2级,无持续风向1-2级,,,36℃
2019年9月14日,多云/雷阵雨,34℃,27℃,无持续风向1-2级,无持续风向1-2级,,,34℃
2019年9月15日,雷阵雨/雷阵雨,32℃,26℃,无持续风向1-2级,无持续风向1-2级,,,32℃
2019年9月16日,雷阵雨/雷阵雨,33℃,25℃,无持续风向1-2级,无持续风向1-2级,,,33℃
2019年9月17日,阵雨/多云,33℃,26℃,无持续风向1-2级,无持续风向1-2级,,,33℃
2019年9月18日,多云/雷阵雨,34℃,25℃,无持续风向1-2级,无持续风向1-2级,,,34℃
2019年9月19日,晴/晴,34℃,24℃,无持续风向1-2级,无持续风向1-2级,,,34℃
2019年9月20日,晴/晴,32℃,23℃,无持续风向1-2级,无持续风向1-2级,,,32℃
2019年9月21日,晴/晴,32℃,23℃,无持续风向1-2级,无持续风向1-2级,,,32℃
2019年9月22日,晴/晴,31℃,22℃,无持续风向1-2级,无持续风向1-2级,,,31℃
2019年9月23日,晴/晴,30℃,21℃,无持续风向1-2级,无持续风向1-2级,,,30℃
2019年9月24日,晴/晴,32℃,23℃,无持续风向1-2级,无持续风向1-2级,,,32℃
2019年9月25日,晴/晴,32℃,23℃,无持续风向1-2级,无持续风向1-2级,,,32℃
2019年9月26日,晴/晴,33℃,23℃,无持续风向1-2级,无持续风向1-2级,,,33℃
2019年9月27日,晴/晴,33℃,23℃,无持续风向1-2级,无持续风向1-2级,,,33℃
2019年9月28日,晴/晴,33℃,23℃,无持续风向1-2级,无持续风向1-2级,,,33℃
2019年9月29日,晴/晴,33℃,23℃,无持续风向1-2级,无持续风向1-2级,,,33℃
2019年9月30日,晴/晴,34℃,22℃,无持续风向1-2级,无持续风向1-2级,,,34℃
2019年10月1日,晴/晴,35℃,24℃,无持续风向1-2级,无持续风向1-2级,,,35℃
2019年10月2日,晴/晴,34℃,25℃,无持续风向1-2级,无持续风向1-2级,,,34℃
2019年10月3日,晴/晴,35℃,26℃,无持续风向1-2级,无持续风向1-2级,,,35℃
2019年10月4日,晴/晴,34℃,25℃,无持续风向1-2级,无持续风向1-2级,,,34℃
2019年10月5日,多云/多云,34℃,25℃,无持续风向1-2级,无持续风向1-2级,,,34℃
2019年10月6日,中雨/小到中雨,33℃,23℃,无持续风向1-2级,无持续风向1-2级,,,33℃
2019年10月7日,阵雨/多云,30℃,23℃,无持续风向1-2级,无持续风向1-2级,,,30℃
2019年10月8日,多云/多云,32℃,24℃,无持续风向1-2级,无持续风向1-2级,,,32℃
2019年10月9日,小雨/多云,31℃,23℃,无持续风向1-2级,无持续风向1-2级,,,31℃
2019年10月10日,多云/多云,32℃,25℃,无持续风向1-2级,无持续风向1-2级,,,32℃
2019年10月11日,晴/晴,33℃,25℃,无持续风向1-2级,无持续风向1-2级,,,33℃
2019年10月12日,多云/雷阵雨,33℃,24℃,无持续风向1-2级,无持续风向1-2级,,,33℃
2019年10月13日,雷阵雨/雷阵雨,31℃,23℃,无持续风向1-2级,无持续风向1-2级,,,31℃
2019年10月14日,多云/多云,29℃,23℃,无持续风向1-2级,无持续风向1-2级,,,29℃
2019年10月15日,晴/晴,30℃,23℃,无持续风向1-2级,无持续风向1-2级,,,30℃
2019年10月16日,多云/晴,31℃,23℃,无持续风向1-2级,无持续风向1-2级,,,31℃
2019年10月17日,晴/晴,31℃,21℃,无持续风向1-2级,无持续风向1-2级,,,31℃
2019年10月18日,晴/晴,30℃,20℃,无持续风向1-2级,无持续风向1-2级,,,30℃
2019年10月19日,晴/晴,31℃,22℃,无持续风向1-2级,无持续风向1-2级,,,31℃
2019年10月20日,晴/晴,30℃,22℃,无持续风向1-2级,无持续风向1-2级,,,30℃
2019年10月21日,晴/晴,30℃,21℃,无持续风向1-2级,无持续风向1-2级,,,30℃
2019年10月22日,多云/晴,30℃,22℃,无持续风向1-2级,无持续风向1-2级,,,30℃
2019年10月23日,小雨/小雨,30℃,22℃,无持续风向1-2级,无持续风向1-2级,,,30℃
2019年10月24日,阴/多云,28℃,22℃,无持续风向1-2级,无持续风向1-2级,,,28℃
2019年10月25日,多云/多云,30℃,21℃,东风1-2级,东风1-2级,,,30℃
2019年10月26日,阴/阴,28℃,21℃,无持续风向1-2级,无持续风向1-2级,,,28℃
2019年10月27日,阴/阴,26℃,20℃,无持续风向1-2级,无持续风向1-2级,,,26℃
2019年10月28日,多云/多云,28℃,19℃,无持续风向1-2级,无持续风向1-2级,,,28℃
2019年10月29日,晴/晴,27℃,17℃,无持续风向1-2级,无持续风向1-2级,,,27℃
2019年10月30日,多云/多云,27℃,17℃,无持续风向1-2级,无持续风向1-2级,,,27℃
2019年10月31日,多云/多云,28℃,19℃,无持续风向1-2级,无持续风向1-2级,,,28℃
2019年11月1日,多云/多云,28℃,20℃,无持续风向1-2级,无持续风向1-2级,,,28℃
2019年11月2日,多云/多云,31℃,23℃,无持续风向1-2级,无持续风向1-2级,,,31℃
2019年11月3日,多云/晴,30℃,20℃,北风3-4级,北风3-4级,,,30℃
2019年11月4日,晴/晴,28℃,18℃,无持续风向1-2级,无持续风向1-2级,,,28℃
2019年11月5日,晴/晴,27℃,17℃,无持续风向1-2级,无持续风向1-2级,,,27℃
2019年11月6日,晴/晴,28℃,18℃,无持续风向1-2级,无持续风向1-2级,,,28℃
2019年11月7日,晴/多云,27℃,17℃,东北风3-4级,东北风3-4级,,,27℃
2019年11月8日,晴/晴,27℃,17℃,东北风3-4级,东北风3-4级,,,27℃
2019年11月9日,晴/晴,27℃,17℃,无持续风向1-2级,无持续风向1-2级,,,27℃
2019年11月10日,晴/晴,27℃,16℃,无持续风向1-2级,无持续风向1-2级,,,27℃
2019年11月11日,晴/晴,29℃,17℃,无持续风向1-2级,无持续风向1-2级,,,29℃
2019年11月12日,晴/晴,28℃,19℃,无持续风向1-2级,无持续风向1-2级,,,28℃
2019年11月13日,晴/晴,29℃,16℃,无持续风向1-2级,无持续风向1-2级,,,29℃
2019年11月14日,晴/晴,25℃,16℃,无持续风向1-2级,无持续风向1-2级,,,25℃
2019年11月15日,晴/晴,26℃,18℃,无持续风向1-2级,无持续风向1-2级,,,26℃
2019年11月16日,晴/晴,29℃,20℃,无持续风向1-2级,无持续风向1-2级,,,29℃
2019年11月17日,晴/晴,27℃,18℃,无持续风向1-2级,无持续风向1-2级,,,27℃
2019年11月18日,多云/晴,24℃,14℃,北风3-4级,北风3-4级,,,24℃
2019年11月19日,晴/晴,22℃,14℃,北风3-4级,北风3-4级,,,22℃
2019年11月20日,晴/晴,25℃,15℃,无持续风向1-2级,无持续风向1-2级,,,25℃
2019年11月21日,晴/晴,24℃,17℃,无持续风向1-2级,无持续风向1-2级,,,24℃
2019年11月22日,晴/晴,26℃,17℃,无持续风向1-2级,无持续风向1-2级,,,26℃
2019年11月23日,晴/晴,28℃,17℃,无持续风向1-2级,无持续风向1-2级,,,28℃
2019年11月24日,晴/晴,28℃,17℃,无持续风向1-2级,无持续风向1-2级,,,28℃
2019年11月25日,晴/多云,28℃,16℃,北风3-4级,北风3-4级,,,28℃
2019年11月26日,多云/多云,24℃,18℃,无持续风向1-2级,无持续风向1-2级,,,24℃
2019年11月27日,多云/多云,25℃,15℃,无持续风向1-2级,无持续风向1-2级,,,25℃
2019年11月28日,多云/晴,19℃,12℃,北风3-4级,北风3-4级,,,19℃
2019年11月29日,多云/多云,21℃,12℃,无持续风向1-2级,无持续风向1-2级,,,21℃
2019年11月30日,多云/晴,24℃,13℃,东北风3-4级,东北风3-4级,,,24℃
2019年12月1日,晴/晴,25℃,13℃,北风3-4级,北风3-4级,,,25℃
2019年12月2日,多云/晴,17℃,10℃,北风4-5级,北风4-5级,,,17℃
2019年12月3日,晴/晴,19℃,10℃,北风3-4级,北风3-4级,,,19℃
2019年12月4日,晴/多云,20℃,11℃,北风3-4级,北风3-4级,,,20℃
2019年12月5日,多云/多云,18℃,13℃,无持续风向1-2级,无持续风向1-2级,,,18℃
2019年12月6日,晴/晴,20℃,9℃,北风3-4级,北风3-4级,,,20℃
2019年12月7日,晴/晴,20℃,8℃,无持续风向1-2级,无持续风向1-2级,,,20℃
2019年12月8日,晴/晴,21℃,10℃,无持续风向1-2级,无持续风向1-2级,,,21℃
2019年12月9日,多云/晴,20℃,10℃,无持续风向1-2级,无持续风向1-2级,,,20℃
2019年12月10日,晴/晴,22℃,10℃,无持续风向1-2级,无持续风向1-2级,,,22℃
2019年12月11日,晴/晴,23℃,10℃,无持续风向1-2级,无持续风向1-2级,,,23℃
2019年12月12日,晴/晴,24℃,12℃,无持续风向1-2级,无持续风向1-2级,,,24℃
2019年12月13日,晴/晴,25℃,15℃,无持续风向1-2级,无持续风向1-2级,,,25℃
2019年12月14日,晴/多云,25℃,14℃,无持续风向1-2级,无持续风向1-2级,,,25℃
2019年12月15日,多云/多云,26℃,15℃,无持续风向1-2级,无持续风向1-2级,,,26℃
2019年12月16日,阴/阴,25℃,19℃,无持续风向1-2级,无持续风向1-2级,,,25℃
2019年12月17日,多云/多云,26℃,19℃,无持续风向1-2级,无持续风向1-2级,,,26℃
2019年12月18日,多云/小雨,27℃,16℃,无持续风向1-2级,无持续风向1-2级,,,27℃
2019年12月19日,阴/阴,15℃,13℃,北风3-4级,北风3-4级,,,15℃
2019年12月20日,阴/多云,20℃,13℃,无持续风向1-2级,无持续风向1-2级,,,20℃
2019年12月21日,阴/阴,19℃,13℃,无持续风向1-2级,无持续风向1-2级,,,19℃
2019年12月22日,阴/多云,22℃,16℃,无持续风向1-2级,无持续风向1-2级,,,22℃
2019年12月23日,多云/小雨,23℃,15℃,无持续风向1-2级,无持续风向1-2级,,,23℃
2019年12月24日,阴/多云,24℃,18℃,无持续风向1-2级,无持续风向1-2级,,,24℃
2019年12月25日,多云/多云,22℃,16℃,无持续风向1-2级,无持续风向1-2级,,,22℃
2019年12月26日,晴/多云,22℃,11℃,北风3-4级,北风3-4级,,,22℃
2019年12月27日,晴/晴,18℃,10℃,无持续风向1-2级,无持续风向1-2级,,,18℃
2019年12月28日,多云/阴,21℃,12℃,无持续风向1-2级,无持续风向1-2级,,,21℃
2019年12月29日,小雨/阴,18℃,15℃,无持续风向1-2级,无持续风向1-2级,,,18℃
2019年12月30日,阵雨/多云,22℃,14℃,无持续风向1-2级,无持续风向1-2级,,,22℃
2019年12月31日,多云/晴,22℃,14℃,无持续风向1-2级,无持续风向1-2级,,,22℃
2020年1月1日,阴/多云,21℃,14℃,无持续风向1-2级,无持续风向1-2级,,,21℃
2020年1月2日,多云/晴,23℃,15℃,无持续风向1-2级,无持续风向1-2级,,,23℃
2020年1月3日,晴/多云,23℃,15℃,无持续风向1-2级,无持续风向1-2级,,,23℃
2020年1月4日,多云/多云,24℃,16℃,无持续风向1-2级,无持续风向1-2级,,,24℃
2020年1月5日,多云/小雨,24℃,16℃,无持续风向1-2级,无持续风向1-2级,,,24℃
2020年1月6日,阴/阴,25℃,20℃,无持续风向1-2级,无持续风向1-2级,,,25℃
2020年1月7日,多云/晴,26℃,16℃,无持续风向1-2级,无持续风向1-2级,,,26℃
2020年1月8日,晴/多云,24℃,15℃,无持续风向1-2级,无持续风向1-2级,,,24℃
2020年1月9日,多云/多云,25℃,17℃,无持续风向1-2级,无持续风向1-2级,,,25℃
2020年1月10日,阴/阴,25℃,19℃,无持续风向1-2级,无持续风向1-2级,,,25℃
2020年1月11日,阴/小雨,24℃,11℃,北风3-4级,北风3-4级,,,24℃
2020年1月12日,阴/多云,15℃,9℃,无持续风向1-2级,无持续风向1-2级,,,15℃
2020年1月13日,多云/多云,21℃,12℃,无持续风向1-2级,无持续风向1-2级,,,21℃
2020年1月14日,多云/多云,21℃,15℃,无持续风向1-2级,无持续风向1-2级,,,21℃
2020年1月15日,多云/多云,23℃,14℃,无持续风向1-2级,无持续风向1-2级,,,23℃
2020年1月16日,阴/多云,23℃,13℃,北风3-4级,北风3-4级,,,23℃
2020年1月17日,阴/阴,14℃,10℃,无持续风向1-2级,无持续风向1-2级,,,14℃
2020年1月18日,阴/阴,15℃,12℃,无持续风向1-2级,无持续风向1-2级,,,15℃
2020年1月19日,阴/阴,15℃,12℃,无持续风向1-2级,无持续风向1-2级,,,15℃
2020年1月20日,阴/多云,18℃,12℃,无持续风向1-2级,无持续风向1-2级,,,18℃
2020年1月21日,阴/阴,21℃,15℃,无持续风向1-2级,无持续风向1-2级,,,21℃
2020年1月22日,多云/阴,24℃,18℃,无持续风向1-2级,无持续风向1-2级,,,24℃
2020年1月23日,多云/多云,26℃,19℃,无持续风向1-2级,无持续风向1-2级,,,26℃
2020年1月24日,阴/多云,27℃,19℃,无持续风向1-2级,无持续风向1-2级,,,27℃
2020年1月25日,小雨/中雨,15℃,11℃,无持续风向1-2级,无持续风向1-2级,,,15℃
2020年1月26日,小雨/阴,15℃,7℃,北风3-4级,北风3-4级,,,15℃
2020年1月27日,多云/多云,15℃,7℃,无持续风向1-2级,无持续风向1-2级,,,15℃
2020年1月28日,多云/晴,15℃,7℃,无持续风向1-2级,无持续风向1-2级,,,15℃
2020年1月29日,多云/晴,16℃,8℃,北风3-4级,北风3-4级,,,16℃
2020年1月30日,晴/晴,17℃,8℃,无持续风向1-2级,无持续风向1-2级,,,17℃
2020年1月31日,晴/多云,20℃,8℃,无持续风向1-2级,无持续风向1-2级,,,20℃
2020年2月1日,阴/阴,19℃,10℃,无持续风向1-2级,无持续风向1-2级,,,19℃
2020年2月2日,阴/阴,20℃,14℃,无持续风向1-2级,无持续风向1-2级,,,20℃
2020年2月3日,小雨/小到中雨,19℃,11℃,无持续风向1-2级,无持续风向1-2级,,,19℃
2020年2月4日,阵雨/阵雨,15℃,11℃,无持续风向1-2级,无持续风向1-2级,,,15℃
2020年2月5日,小雨/阴,18℃,13℃,无持续风向1-2级,无持续风向1-2级,,,18℃
2020年2月6日,小雨/小雨,18℃,14℃,无持续风向1-2级,无持续风向1-2级,,,18℃
2020年2月7日,小雨/阴,16℃,12℃,无持续风向1-2级,无持续风向1-2级,,,16℃
2020年2月8日,阴/多云,19℃,13℃,无持续风向1-2级,无持续风向1-2级,,,19℃
2020年2月9日,阴/阴,18℃,12℃,无持续风向1-2级,无持续风向1-2级,,,18℃
2020年2月10日,阴/小雨,19℃,14℃,无持续风向1-2级,无持续风向1-2级,,,19℃
2020年2月11日,小雨/阴,18℃,14℃,无持续风向1-2级,无持续风向1-2级,,,18℃
2020年2月12日,阴/小雨,21℃,16℃,无持续风向1-2级,无持续风向1-2级,,,21℃
2020年2月13日,大雨/中雨,21℃,17℃,无持续风向1-2级,无持续风向1-2级,,,21℃
2020年2月14日,小雨/中雨,23℃,19℃,无持续风向1-2级,无持续风向1-2级,,,23℃
2020年2月15日,暴雨/中雨,21℃,8℃,南风3-4级,南风3-4级,,,21℃
2020年2月16日,小雨/阴,12℃,6℃,北风3-4级,北风3-4级,,,12℃
2020年2月17日,晴/晴,16℃,6℃,北风3-4级,北风3-4级,,,16℃
2020年2月18日,晴/晴,17℃,8℃,无持续风向1-2级,无持续风向1-2级,,,17℃
2020年2月19日,多云/多云,19℃,10℃,无持续风向1-2级,无持续风向1-2级,,,19℃
2020年2月20日,多云/多云,22℃,12℃,无持续风向1-2级,无持续风向1-2级,,,22℃
2020年2月21日,晴/多云,24℃,14℃,无持续风向1-2级,无持续风向1-2级,,,24℃
2020年2月22日,多云/多云,26℃,15℃,无持续风向1-2级,无持续风向1-2级,,,26℃
2020年2月23日,多云/多云,26℃,16℃,无持续风向1-2级,无持续风向1-2级,,,26℃
2020年2月24日,多云/多云,25℃,18℃,无持续风向1-2级,无持续风向1-2级,,,25℃
2020年2月25日,多云/多云,27℃,18℃,无持续风向1-2级,无持续风向1-2级,,,27℃
2020年2月26日,晴/多云,28℃,19℃,无持续风向1-2级,无持续风向1-2级,,,28℃
2020年2月27日,多云/阴,28℃,18℃,无持续风向1-2级,无持续风向1-2级,,,28℃
2020年2月28日,阴/阴,26℃,19℃,无持续风向1-2级,无持续风向1-2级,,,26℃
2020年2月29日,阴/阴,27℃,18℃,无持续风向1-2级,无持续风向1-2级,,,27℃
2020年3月1日,多云/多云,27℃,19℃,无持续风向1-2级,无持续风向1-2级,,,27℃
2020年3月2日,多云/多云,26℃,18℃,无持续风向1-2级,无持续风向1-2级,,,26℃
2020年3月3日,阴/中雨,25℃,18℃,无持续风向1-2级,无持续风向1-2级,,,25℃
2020年3月4日,中到大雨/中雨,18℃,13℃,无持续风向1-2级,无持续风向1-2级,,,18℃
2020年3月5日,阴/多云,20℃,14℃,无持续风向1-2级,无持续风向1-2级,,,20℃
2020年3月6日,阴/阴,21℃,18℃,无持续风向1-2级,无持续风向1-2级,,,21℃
2020年3月7日,阴/阴,24℃,18℃,无持续风向1-2级,无持续风向1-2级,,,24℃
2020年3月8日,阴/阴,26℃,22℃,无持续风向1-2级,无持续风向1-2级,,,26℃
2020年3月9日,小雨/中雨,26℃,18℃,南风3-4级,南风3-4级,,,26℃
2020年3月10日,多云/多云,23℃,16℃,北风3-4级,北风3-4级,,,23℃
2020年3月11日,多云/小雨,24℃,18℃,无持续风向1-2级,无持续风向1-2级,,,24℃
2020年3月12日,阴/阴,23℃,18℃,无持续风向1-2级,无持续风向1-2级,,,23℃
2020年3月13日,小雨/小雨,27℃,18℃,北风1-2级,北风1-2级,,,27℃
2020年3月14日,阴/多云,21℃,16℃,无持续风向1-2级,无持续风向1-2级,,,21℃
2020年3月15日,多云/多云,24℃,17℃,无持续风向1-2级,无持续风向1-2级,,,24℃
2020年3月16日,阴/阴,23℃,19℃,无持续风向1-2级,无持续风向1-2级,,,23℃
2020年3月17日,阴/小雨,23℃,20℃,无持续风向1-2级,无持续风向1-2级,,,23℃
2020年3月18日,阵雨/中雨,22℃,18℃,无持续风向1-2级,无持续风向1-2级,,,22℃
2020年3月19日,中雨/中雨,22℃,19℃,无持续风向1-2级,无持续风向1-2级,,,22℃
2020年3月20日,阵雨/阴,24℃,21℃,无持续风向1-2级,无持续风向1-2级,,,24℃
2020年3月21日,阴/多云,25℃,21℃,无持续风向1-2级,无持续风向1-2级,,,25℃
2020年3月22日,多云/多云,29℃,21℃,无持续风向1-2级,无持续风向1-2级,,,29℃
2020年3月23日,多云/多云,28℃,22℃,无持续风向1-2级,无持续风向1-2级,,,28℃
2020年3月24日,阴/阵雨,29℃,22℃,无持续风向1-2级,无持续风向1-2级,,,29℃
2020年3月25日,雷阵雨/雷阵雨,27℃,22℃,无持续风向1-2级,无持续风向1-2级,,,27℃
2020年3月26日,雷阵雨/雷阵雨,27℃,20℃,无持续风向1-2级,无持续风向1-2级,,,27℃
2020年3月27日,大雨/暴雨,27℃,17℃,无持续风向1-2级,无持续风向1-2级,,,27℃
2020年3月28日,阴/阴,21℃,17℃,北风3-4级,北风3-4级,,,21℃
2020年3月29日,阴/小雨,21℃,18℃,无持续风向1-2级,无持续风向1-2级,,,21℃
2020年3月30日,小雨/小雨,16℃,13℃,无持续风向1-2级,无持续风向1-2级,,,16℃
2020年3月31日,阵雨/阵雨,16℃,13℃,无持续风向1-2级,无持续风向1-2级,,,16℃
2020年4月1日,阵雨/阵雨,18℃,14℃,无持续风向1-2级,无持续风向1-2级,,,18℃
2020年4月2日,小雨/小雨,18℃,14℃,无持续风向1-2级,无持续风向1-2级,,,18℃
2020年4月3日,小雨/小雨,19℃,16℃,无持续风向1-2级,无持续风向1-2级,,,19℃
2020年4月4日,小雨/阵雨,18℃,15℃,无持续风向1-2级,无持续风向1-2级,,,18℃
2020年4月5日,中雨/中雨,16℃,15℃,无持续风向1-2级,无持续风向1-2级,,,16℃
2020年4月6日,大雨/小雨,16℃,14℃,无持续风向1-2级,无持续风向1-2级,,,16℃
2020年4月7日,阴/阴,18℃,16℃,无持续风向1-2级,无持续风向1-2级,,,18℃
2020年4月8日,多云/多云,24℃,17℃,无持续风向1-2级,无持续风向1-2级,,,24℃
2020年4月9日,多云/多云,26℃,19℃,无持续风向1-2级,无持续风向1-2级,,,26℃
2020年4月10日,多云/多云,28℃,19℃,无持续风向1-2级,无持续风向1-2级,,,28℃
2020年4月11日,大雨/阵雨,27℃,15℃,北风3-4级,北风3-4级,,,27℃
2020年4月12日,晴/晴,22℃,11℃,北风3-4级,北风3-4级,,,22℃
2020年4月13日,晴/多云,24℃,15℃,无持续风向1-2级,无持续风向1-2级,,,24℃
2020年4月14日,阴/阴,23℃,15℃,无持续风向1-2级,无持续风向1-2级,,,23℃
2020年4月15日,晴/多云,25℃,16℃,无持续风向1-2级,无持续风向1-2级,,,25℃
2020年4月16日,多云/多云,27℃,18℃,无持续风向1-2级,无持续风向1-2级,,,27℃
2020年4月17日,多云/阴,28℃,21℃,无持续风向1-2级,无持续风向1-2级,,,28℃
2020年4月18日,阴/阴,28℃,22℃,无持续风向1-2级,无持续风向1-2级,,,28℃
2020年4月19日,多云/多云,29℃,23℃,无持续风向1-2级,无持续风向1-2级,,,29℃
2020年4月20日,多云/多云,31℃,24℃,无持续风向1-2级,无持续风向1-2级,,,31℃
2020年4月21日,雷阵雨/中雨,31℃,21℃,无持续风向1-2级,无持续风向1-2级,,,31℃
2020年4月22日,中雨/中雨,23℃,18℃,无持续风向1-2级,无持续风向1-2级,,,23℃
2020年4月23日,中雨/小到中雨,20℃,16℃,无持续风向1-2级,无持续风向1-2级,,,20℃
2020年4月24日,小雨/阴,19℃,15℃,无持续风向1-2级,无持续风向1-2级,,,19℃
2020年4月25日,阴/小雨,22℃,17℃,无持续风向1-2级,无持续风向1-2级,,,22℃
2020年4月26日,阴/阴,25℃,19℃,无持续风向1-2级,无持续风向1-2级,,,25℃
2020年4月27日,多云/多云,29℃,19℃,无持续风向1-2级,无持续风向1-2级,,,29℃
2020年4月28日,多云/多云,30℃,20℃,无持续风向1-2级,无持续风向1-2级,,,30℃
2020年4月29日,多云/多云,31℃,21℃,无持续风向1-2级,无持续风向1-2级,,,31℃
2020年4月30日,多云/多云,31℃,22℃,无持续风向1-2级,无持续风向1-2级,,,31℃
2020年5月1日,晴/多云,32℃,23℃,无持续风向1-2级,无持续风向1-2级,,,32℃
2020年5月2日,多云/多云,32℃,25℃,无持续风向1-2级,无持续风向1-2级,,,32℃
2020年5月3日,晴/晴,33℃,25℃,无持续风向1-2级,无持续风向1-2级,,,33℃
2020年5月4日,晴/晴,35℃,26℃,无持续风向1-2级,无持续风向1-2级,,,35℃
2020年5月5日,多云/多云,35℃,27℃,无持续风向1-2级,无持续风向1-2级,,,35℃
2020年5月6日,多云/多云,35℃,27℃,无持续风向1-2级,无持续风向1-2级,,,35℃
2020年5月7日,多云/多云,35℃,28℃,南风3-4级,南风3-4级,,,35℃
2020年5月8日,多云/多云,34℃,28℃,无持续风向1-2级,无持续风向1-2级,,,34℃
2020年5月9日,多云/雷阵雨,35℃,27℃,无持续风向1-2级,无持续风向1-2级,,,35℃
